Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4669536151,HTW2708,NY,OMS,2019-10-22T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0E-8,,0,0,0,,,0341P,,BX,,,EB WARING AVE @ SEYM,OUR AVE,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4664327572,BAC4212,NY,PAS,2019-08-28T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0E-8,,0,0,0,,,0313P,,MN,,,SB WEST ST @ WARREN,ST,0,1180,B,T,,,,BK,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4661886616,AS32860,CT,PAS,2019-08-07T00:00:00.000,36,UT,ME/BE,V,0,0,0,0E-8,,0,0,0,,,0224P,,ST,,,SB MIDLAND AVE @ MAS,ON AVE,0,1180,B,T,,,,,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5107560015,ACP7503,NY,PAS,2019-07-25T00:00:00.000,7,SUBN,HONDA,V,0,0,0,0E-8,,0,0,0,,,1118A,,QN,,,BEACH CHANNEL DR (W/,B) @ B 140TH ST,0,1111,D,T,,,,WH,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
8715360465,T785463C,NY,OMT,2019-07-29T00:00:00.000,40,SUBN,INFIN,T,95130,21130,44530,20200731.0,0084,84,84,331829,T301,Y,0204P,,K,F,155-157,York St,,0,408,E2,,YYYYYYY,,,BK,,2019,,9,02,,,,
8607197137,T654006C,NY,OMT,2019-08-31T00:00:00.000,38,4DSD,TOYOT,T,76950,40120,31820,20200731.0,0041,41,41,367877,T201,Y,1032A,,BX,F,1118,Westchester Ave,,0,408,I3,, YYYYYY,0830A,0700P,BK,,2014,,0,03,,,,
8728783967,JBE4674,NY,PAS,2019-07-26T00:00:00.000,21,4DSD,HONDA,T,8430,6280,6380,20200731.0,0066,66,66,365922,T302,H,0910A,,K,O,1263,37th St,,0,408,D1,,     Y,0830A,1000A,BL,,2017,,0,43,,,,
1455287854,HTS2096,NY,PAS,2019-09-15T00:00:00.000,20,SDN,SUBAR,K,13820,0,0,20190710.0,0084,84,4,160608,0004,0000,0817P,,K,,,BROOKLYN BRIDGE PARK,PIER 5 LOOP,0,408,D,,BBBBBBB,ALL,ALL,SV,0,2015,-,0,,,,,
8685298866,JHV8718,NY,PAS,2019-09-10T00:00:00.000,21,4DSD,VOLKS,T,34880,14780,14830,20200529.0,0062,62,62,367333,T302,V,1041A,,K,F,2430,E 2nd St,,0,408,D1,,  Y,0930A,1100A,BK,,2018,,0,33,,,,
4662938030,JGJ1672,NY,PAS,2019-08-16T00:00:00.000,36,SUBN,FORD,V,0,0,0,0E-8,,0,0,0,,,1251P,,BK,,,NB KINGS HWY @ E 94T,H ST,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4660794039,FSL2925,NY,PAS,2019-07-31T00:00:00.000,36,4DSD,CADIL,V,0,0,0,0E-8,,0,0,0,,,0130P,,QN,,,SB MIDLAND PKWY @ WE,XFORD TERR,0,1180,B,T,,,,BK,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8779251316,AF88409,PA,PAS,2019-09-30T00:00:00.000,84,TR/C,VOLVO,T,11710,35430,35450,20170588.0,0020,20,20,364885,T103,J,1131A,,NY,F,486,Amsterdam Ave,,0,408,C,,YYYYYYY,,,OTHER,,0,,0,45,,,,
8639088196,91506ML,NY,COM,2019-07-29T00:00:00.000,38,DELV,INTER,T,9540,0,0,20191231.0,115,115,115,358919,T401,U,1016A,,Q,I,E,41st Ave,10ft N/of 104th St,0,408,I4,, YYYYYY,0900A,0700P,WH,,2019,,0,17,,,,
8736425175,JCA3097,NY,PAS,2019-08-05T00:00:00.000,71,SUBN,ACURA,T,31450,23800,25545,20200719.0,0045,45,45,366540,T201,C,0506P,,BX,F,120,Erskine Pl,,0,408,J6,,YYYYYYY,,,WH,,2018,,0,45,,,,
8762616249,HJZ2692,NY,PAS,2019-10-24T00:00:00.000,71,PICK,TOYOT,T,56030,73690,67030,20200810.0,0077,77,77,347663,T301,M,1018A,,K,O,771,Lincoln Pl,,0,408,F1,,YYYYYYY,,,GY,,2011,,0,K,,,,
4666858659,BEH4556,NY,PAS,2019-09-23T00:00:00.000,36,4DSD,HYUND,V,0,0,0,0E-8,,0,0,0,,,0622P,,QN,,,EB BEACH CHANNEL DR,@ BEACH 104TH ST,0,1180,B,T,,,,GY,,2006,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8661977666,HVU4986,NY,PAS,2019-07-29T00:00:00.000,71,SUBN,ROVER,T,30150,0,0,20191231.0,0075,75,75,351964,T301,Y,0525P,,K,I,W,Cozine Ave,25ft N/of Georgia Av,0,408,D,,YYYYYYY,,,WH,,2017,,0,SPCL,,,,
8777558297,XP250X,NJ,PAS,2019-10-16T00:00:00.000,14,DELV,CHEVR,T,32700,11750,15350,88880088.0,0001,1,1,363573,T105,D,1003A,,NY,O,26,Vesey St,,0,408,C4,,YY YYYY,,,WHITE,,0,,0,029,,,,
8766568924,87546ME,NY,COM,2019-10-16T00:00:00.000,46,VAN,CHEVR,T,10110,18790,18810,20210430.0,0019,19,19,361906,T103,K,1209P,,NY,F,1744,2nd Ave,,0,408,C,,YYYYYYY,,,WH,,2015,,0,49,,,,
4011981990,HSF2870,NY,PAS,2019-09-06T00:00:00.000,5,CONV,VOLKS,V,0,0,0,0E-8,,0,0,0,,,0519P,,BX,,,EB E 163RD ST @ FOX,ST,0,1111,C,T,,,,BK,,2013,,0,,BUS LANE VIOLATION,,,
8778457993,JEA2464,NY,PAS,2019-09-24T00:00:00.000,38,4DSD,NISSA,T,26230,75430,36930,20201122.0,0067,67,67,367382,T302,I,1037A,,K,F,4704,Church Ave,,0,408,I4,, YYYYYY,0830A,0700P,BK,,2014,,0,28,,,,
4666594103,XGHV55,NJ,PAS,2019-09-17T00:00:00.000,36,TRK,HIN,V,0,0,0,0E-8,,0,0,0,,,0850A,,QN,,,WB HILLSIDE AVE @ 23,1ST ST,0,1180,B,T,,,,WH.,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4667140586,JGY1164,NY,PAS,2019-09-26T00:00:00.000,36,SUBN,HONDA,V,0,0,0,0E-8,,0,0,0,,,0948A,,BK,,,SB CROPSEY AVE @ BAY, 35TH ST,0,1180,B,T,,,,BL,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8763856906,JDN6107,NY,PAS,2019-07-24T00:00:00.000,21,SUBN,JEEP,T,10210,18790,18810,20201122.0,0019,19,19,365801,T103,FF,0848A,,NY,F,1601,3rd Ave,,0,408,D1,, YYYYYY,0830A,0900A,GY,,2018,,0,53,,,,
4664223687,HTZ5822,NY,PAS,2019-08-27T00:00:00.000,36,SUBN,HYUND,V,0,0,0,0E-8,,0,0,0,,,0515P,,BK,,,WB LINDEN BLVD @ ROC,KAWAY AVE,0,1180,B,T,,,,MR,,2005,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8727338265,26685MN,NY,COM,2019-08-20T00:00:00.000,37,VAN,GMC,T,25390,18690,18710,20210731.0,0019,19,19,357724,T103,G,0337P,0307P,NY,F,1161,Madison Ave,,0,408,I4,, YYYYYY,0800A,0700P,WH,,2011,,0,C,,,,
8741719669,HPN7995,NY,PAS,2019-08-23T00:00:00.000,21,4DSD,HONDA,T,11420,27060,27090,20210306.0,0048,48,48,366530,T201,G,0942A,,BX,O,2123,Bathgate Ave,,0,408,C3,,  Y  Y,0930A,1100A,BK,,2017,,0,51,,,,
1458932928,31479ML,NY,COM,2019-07-05T00:00:00.000,17,DELV,HIN,P,34410,10410,13610,20200930.0,,0,401,953483,0401,0000,0738A,,NY,O,49,W 32ND ST,,0,408,C4,,BBBBBBB,ALL,ALL,WH,0,2009,-,0,,,,,
8781010734,2625461,IN,PAS,2019-10-05T00:00:00.000,14,TRAC,INTER,T,21790,0,0,20190088.0,0006,6,6,362533,T105,M,0706A,,NY,I,W,Greenwich St,10ft N/of Bethune St,0,408,F7,,YYYYYYY,,,WHITE,,0,,0,A,,,,
8757360029,HYB4465,NY,PAS,2019-08-15T00:00:00.000,40,4DSD,HYUND,T,35150,14510,15710,20200502.0,0020,20,20,351262,T103,K,0134P,,NY,F,29,W 69th St,,0,408,F1,,YYYYYYY,,,BK,,2013,,0,C,,,,
8735570623,ESW2492,NY,PAS,2019-07-26T00:00:00.000,21,SUBN,HONDA,T,18450,10110,10010,20210626.0,0019,19,19,361091,T103,HH,1011A,,NY,F,322,E 73rd St,,0,408,D1,,  Y  Y,0900A,1030A,BL,,2010,,0,03,,,,
4659157441,HSA4290,NY,PAS,2019-07-18T00:00:00.000,36,4DSD,ACURA,V,0,0,0,0E-8,,0,0,0,,,0849P,,QN,,,NB SPRINGFIELD BLVD,@ 133RD RD,0,1180,B,T,,,,GY,,2002,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8681109984,TK483NPY,IN,PAS,2019-10-19T00:00:00.000,14,PICK,FORD,T,24290,51090,28265,88880088.0,103,103,103,370813,T402,G,0146P,,Q,F,92-01,165th St,,0,408,I4,,YYYYYYY,,,BLACK,,0,,0,19,,,,
8721932128,CMD1310,FL,PAS,2019-07-11T00:00:00.000,18,VAN,ME/BE,T,54580,9590,61390,20190088.0,109,109,109,365348,T401,S,1006A,,Q,F,41-47,Main St,,0,408,D,,YYYYYYY,,,WHITE,,0,,0,03,,,,
4663638892,JJX5585,NY,PAS,2019-08-21T00:00:00.000,36,VAN,FORD,V,0,0,0,0E-8,,0,0,0,,,0225P,,QN,,,WB THOMSON AVE @ 30T,H PL,0,1180,B,T,,,,BK,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4658738168,EDL7668,NC,PAS,2019-07-16T00:00:00.000,36,4S,HONDA,V,0,0,0,0E-8,,0,0,0,,,0403P,,BK,,,NB EASTERN PKWY @ HE,RKIMER ST,0,1180,B,T,,,,,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1461658974,HSH3691,NY,PAS,2019-09-12T00:00:00.000,21,SUBN,FORD,S,5580,10930,10980,20190828.0,0068,68,0,537809,KS10,0000,0752A,,K,F,8709,5 AVENUE,,0,408,D1,,YYYYYYB,0730A,0800A,GRAY,0,1999,-,0,,,,,
5107407109,XERZ78,NJ,PAS,2019-07-15T00:00:00.000,7,VAN,FORD,V,0,0,0,0E-8,,0,0,0,,,0625A,,ST,,,NARROWS RD (W/B) @ C,LOVE RD,0,1111,D,T,,,,WT,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
8694087704,JCM5929,NY,PAS,2019-07-22T00:00:00.000,31,PICK,NISSA,T,18190,27790,24890,20200505.0,0018,18,18,362639,T106,O,1127A,,NY,O,129,E 60th St,,0,408,H1,, YYYYYY,0700A,0700P,GY,,2016,,0,27,,,,
8801700350,JCY5355,NY,PAS,2019-10-07T00:00:00.000,71,4DSD,CHRYS,T,73050,58730,85730,20200907.0,0073,73,73,370774,T301,T,1252P,,K,F,348,Quincy St,,0,408,F1,,YYYYYYY,,,GY,,2016,,0,SPCL,,,,
4011465446,HPK1884,NY,PAS,2019-06-14T00:00:00.000,5,4DSD,CHRYS,V,0,0,0,0E-8,,0,0,0,,,0708P,,BX,,,NB WEBSTER AVE @ E 1,78TH ST,0,1111,C,T,,,,GY,,2006,,0,,BUS LANE VIOLATION,,,
8780103479,JGP8103,NY,PAS,2019-09-28T00:00:00.000,38,4DSD,BMW,T,23920,29220,27450,20210530.0,0052,52,52,363540,T201,B,0910A,,BX,F,2567,Decatur Ave,,0,408,I4,, YYYYYY,0830A,0700P,BK,,2017,,0,01,,,,
4666347574,GUG8258,NY,PAS,2019-09-13T00:00:00.000,36,SUBN,TOYOT,V,0,0,0,0E-8,,0,0,0,,,0628P,,QN,,,WB JAMAICA AVE @ 224,TH ST,0,1180,B,T,,,,BR,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4659924440,JAR5101,NY,OMS,2019-07-22T00:00:00.000,36,4DSD,MAZDA,V,0,0,0,0E-8,,0,0,0,,,1100A,,BK,,,SB ROCKAWAY PKWY @ A,VE J,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8760755325,HCF6852,NY,PAS,2019-08-02T00:00:00.000,37,4DSD,DODGE,T,76950,67920,45820,20191015.0,0043,43,43,366553,T201,D,1235P,1229P,BX,F,1847,Westchester Ave,,0,408,D1,, YYYYYY,0800A,0700P,BK,,2013,,0,04,,,,
8684633908,OYB3670,NJ,PAS,2019-09-03T00:00:00.000,77,BUS,FORD,T,34610,10810,10910,88880088.0,0014,14,14,362525,MTTF,G,0953P,,NY,F,319,W 42nd St,,0,408,I4,,YYYYYYY,,,WHITE,,0,,0,09,,,,
4662139200,FJW7565,NY,PAS,2019-08-09T00:00:00.000,36,2DSD,HONDA,V,0,0,0,0E-8,,0,0,0,,,0638P,,BX,,,WB E GUN HILL RD @ B,RONXWOOD AVE,0,1180,B,T,,,,BK,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4663259388,GXV3848,NY,PAS,2019-08-20T00:00:00.000,36,SUBN,FORD,V,0,0,0,0E-8,,0,0,0,,,0848A,,BK,,,NB EASTERN PKWY @ HE,RKIMER ST,0,1180,B,T,,,,GY,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4665146226,HXA6376,NY,OMS,2019-09-05T00:00:00.000,36,SUBN,ME/BE,V,0,0,0,0E-8,,0,0,0,,,0354P,,BK,,,WB ATLANTIC AVE @ CL,ERMONT AVE,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4665291378,HTE2474,NY,PAS,2019-09-04T00:00:00.000,36,2DSD,MINI,V,0,0,0,0E-8,,0,0,0,,,0504P,,BK,,,WB 86TH ST @ RIDGE B,LVD,0,1180,B,T,,,,BK,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8514141600,80047MM,NY,COM,2019-09-03T00:00:00.000,20,VAN,WORKH,T,25390,19470,19490,88880088.0,0025,25,25,368881,T103,CC,1044A,,NY,F,1981,Madison Ave,,0,408,D1,,YYYYYYY,,,WHITE,,2001,,0,55,,,,
4666409592,JEA3885,NY,PAS,2019-09-18T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0E-8,,0,0,0,,,0227P,,BK,,,WB ATLANTIC AVE @ SH,EPHERD AVE,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8734729525,T779485C,NY,OMT,2019-09-19T00:00:00.000,40,4DSD,HONDA,T,0,0,0,20200731.0,0047,47,47,366436,T201,G,1116A,,BX,I,N,Arnow Ave,25ft W/of Cruger Ave,0,408,C3,,YYYYYYY,,,BK,,2016,,8,15,,,,
1459418128,85994MD,NY,COM,2019-09-23T00:00:00.000,46,VAN,FRUEH,P,24890,18610,18630,0E-8,0019,19,19,932402,0019,0000,0959A,,NY,O,1200,LEXINGTON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BRN,0,2015,-,0,,,,,
4660126407,KYE2997,PA,PAS,2019-07-25T00:00:00.000,36,SW,MAZDA,V,0,0,0,0E-8,,0,0,0,,,0223P,,BK,,,SB EASTERN PKWY @ TR,UXTON ST,0,1180,B,T,,,,,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8668848215,HGT5143,NY,PAS,2019-07-02T00:00:00.000,38,4DSD,HYUND,T,67030,14230,14280,20200717.0,0063,63,63,366453,T302,R,0130P,,K,F,2740,Nostrand Ave,,0,408,I3,, YYYYYY,0900A,0700P,BL,,2016,,0,16,,,,
1460190853,JGA8831,NY,PAS,2019-09-17T00:00:00.000,98,SUBN,,P,33090,49890,60790,20210404.0,100,100,100,955757,0100,0000,1248P,,Q,F,169,BEACH 91 STREET,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
8531933390,T12LPG,NJ,PAS,2019-08-30T00:00:00.000,21,4DSD,HONDA,T,10010,19250,19270,88880088.0,0025,25,25,368915,T103,AA,0851A,,NY,F,2246,1st Ave,,0,408,F1,,  Y  Y,0830A,1000A,WHITE,,0,,0,50,,,,
8686048158,T759576C,NY,OMT,2019-07-17T00:00:00.000,72,4DSD,LINCO,T,53620,11440,19290,20190930.0,110,110,110,366562,T401,E,1029A,,Q,F,99-08,Lewis Ave,,0,408,D1,,YYYYYYY,,,BK,,2009,,0,45,,,,
4665533957,ALS4326,NY,PAS,2019-09-09T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0E-8,,0,0,0,,,0902P,,BX,,,SB RIVERDALE AVE @ W, 256TH ST,0,1180,B,T,,,,BK,,2006,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8751809953,HHJ3273,NY,PAS,2019-07-03T00:00:00.000,37,SUBN,SUBAR,T,54050,90930,90880,20200524.0,0062,62,62,357764,T302,G,0103P,1248P,K,O,242,Kings Hwy,,0,408,I4,, YYYYYY,0900A,0700P,GY,,2016,,0,07,,,,
8756575981,58403JW,NY,COM,2019-09-12T00:00:00.000,38,VAN,FORD,T,20490,61090,9540,20201031.0,110,110,110,362632,T401,N,0603P,,Q,F,40-01,111th St,,0,408,E2,, YYYYYY,0900A,0700P,WH,,2015,,0,J-PM,,,,
8780251870,EFZ3296,NY,PAS,2019-09-10T00:00:00.000,74,SUBN,JEEP,T,55330,67030,64830,20200328.0,0067,67,67,365355,T802,B,0823P,,K,F,368,Lenox Rd,,0,408,F1,,YYYYYYY,,,BK,,2016,,0,F,,,,
8729231322,DZH6096,NY,PAS,2019-10-23T00:00:00.000,38,SUBN,LEXUS,T,28830,14080,24850,20210601.0,0070,70,70,363086,T302,Q,1043A,,K,F,1363,Coney Island Ave,,0,408,J6,, YYYY,0800A,0700P,WH,,2007,,0,02,,,,
4660135380,5072TK,FL,PAS,2019-07-25T00:00:00.000,36,UT,GMC,V,0,19895,0,0E-8,,0,0,0,,,0337P,,QN,,,WB SEAGIRT BLVD @ CR,EST RD,0,1180,B,T,,,,BLK,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8761775939,T668402C,NY,OMT,2019-09-23T00:00:00.000,21,SUBN,CADIL,T,16620,40320,72620,20191231.0,0049,49,49,358563,T201,S,0815A,,BX,F,770,Burke Ave,,0,408,D1,, YYYYYY,0800A,0830A,BK,,2016,,0,C,,,,
4663893028,HCC6778,NY,PAS,2019-08-23T00:00:00.000,36,4DSD,TESLA,V,0,0,0,0E-8,,0,0,0,,,0430P,,QN,,,WB QUEENS BLVD @ 62N,D DR,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8632591629,GRA4712,NY,PAS,2019-10-15T00:00:00.000,17,SUBN,HONDA,T,22425,0,0,20200815.0,0042,42,42,361324,T201,X,1019A,,BX,I,S,Crotona Park,70ft E/of Fulton Ave,0,408,J6,,SCHOOL,0700A,0400P,GY,,2006,,0,26,,,,
8608573751,JHA3245,NY,PAS,2019-08-21T00:00:00.000,19,4DSD,ACURA,T,63820,74920,60820,20210401.0,0052,52,52,355281,T801,A,0855P,,BX,O,2881,Sedgwick Ave,,0,408,C,,YYYYYYY,,,BK,,2006,,0,K,,,,
8749867118,69887PC,NY,APP,2019-08-22T00:00:00.000,14,REFG,HIN,T,16310,27590,25090,20200331.0,0007,7,7,365928,T105,D,0319P,,NY,F,88,Delancey St,,0,408,I4,,YYYYYYY,,,WH,,2019,,0,025,,,,
8765654638,2911353,IN,PAS,2019-08-21T00:00:00.000,14,FLAT,FRUEH,T,34850,10410,10510,20190088.0,0018,18,18,358577,T106,M,1147A,,NY,O,25,W 54th St,,0,408,C,,YYYYYYY,,,WHITE,,0,,0,22,,,,
1454169783,GVG3504,NY,PAS,2019-06-21T00:00:00.000,37,SUBN,JEEP,X,25645,13113,13113,20201127.0,0019,19,977,892169,0977,0000,0340P,,NY,F,415,MAIN ST,,0,408,I3,,YYYYYYB,0700A,0700P,BL,0,2017,-,0,,,,,
1462428460,AS19147,CT,999,2019-10-05T00:00:00.000,21,SUBN,NISSA,S,5430,7880,7980,0E-8,0072,72,0,921836,KS07,0000,0818A,,K,F,797,4TH AVE,,0,408,D1,,YYYYYYB,0800A,0830A,BK,0,0,-,0,,,,,
8772067226,17542MG,NY,COM,2019-10-01T00:00:00.000,14,PICK,CHEVR,T,10110,17730,17750,20200831.0,0017,17,17,349481,MTTF,F,0129P,,NY,O,705,2nd Ave,,0,408,C,,YYYYYYY,,,YW,,2003,,0,20,,,,
4659910982,T787491C,NY,OMT,2019-07-19T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0E-8,,0,0,0,,,0753P,,BX,,,NB BEDFORD PARK BLVD, @ MARION AVE,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8683288195,T798398C,NY,OMT,2019-07-27T00:00:00.000,38,SUBN,HYUND,T,17550,24890,10210,20191031.0,0013,13,13,366538,T102,M,0312P,,NY,F,136,E 28th St,,0,408,I3,, YYYYYY,0900A,0700P,BR,,2019,,0,18,,,,
8738473884,FCW3723,NY,PAS,2019-08-30T00:00:00.000,21,4DSD,TOYOT,T,13040,0,0,20200711.0,112,112,112,363575,T402,B,0943A,,Q,I,E,63rd Dr,35ft N/of 98th St,0,408,J6,,     Y,0930A,1100A,GY,,2010,,0,01,,,,
4662141000,FZY1884,NY,PAS,2019-08-09T00:00:00.000,36,SUBN,HONDA,V,0,0,0,0E-8,,0,0,0,,,0647P,,BX,,,EB E 233RD ST @ KATO,NAH AVE,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8704040673,DFE4987,NY,PAS,2019-06-26T00:00:00.000,50,SUBN,SUBAR,T,0,0,0,20191002.0,0070,70,70,361373,T302,G,0355P,,K,I,W,Ocean Ave,0ft N/of Farragut Rd,0,408,E5,,YYYYYYY,,,GY,,2010,,0,09,,,,
8791403340,JEC6093,NY,PAS,2019-10-03T00:00:00.000,21,4DSD,NISSA,T,25330,63030,81930,20201031.0,0083,83,83,357358,T301,M,0838A,,K,F,214,Central Ave,,0,408,D1,, Y  Y,0800A,0930A,RD,,2007,,0,B,,,,
